           0.      22.17524         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       677.341         INDEF       772.034         INDEF      -2.04232         INDEF         INDEF            0.      17.73202         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      17.10247         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
          88.      1.416002    0.03899071      1.399988      0.286522     0.7037869   0.005068605     -59.29213      0.400303       677.341     0.6343154       772.034     0.4511009   -0.04135357   0.004705785     0.1137939      3.062814      20.71903    0.03031508    0.02949324      22331.67      28393.03      10.22439      9.963664        7205       23915   0.001646706   0.009680143  -0.008153179   0.008828237  -6.072969E-4   0.008074309    0.03218105   0.008708923          54           0          15           0   6.055266E-4      23.87441       35.9208      2407.435       1.27445      20747.12      20.08948      20.20383      10.21953      10.29944   0.003227248       23.1883           66.   0.002500412   0.002775284   0.001135881   0.001221988
          96.      1.079444    0.02524282     0.9470261     0.1888999     0.7029917    0.00309796     -59.28105     0.2421944       677.341     0.4189342       772.034      0.299222   -0.02981978   0.002771038    0.09292617      3.130169      21.01369      0.025691    0.02509814      24057.15      29573.52      10.14358      9.919436        8595       28445    -0.0067063   0.005742659  -0.006547048   0.005319564  -0.001467568   0.004717562    0.02040184   0.005063197          56           0          15           0   5.054111E-4      25.13392       39.2389      2629.816     0.9666213      22296.32      20.38414        20.504      10.13872      10.22125   0.003226121      27.65562           72.   0.003269179   0.003647951   0.001255321   0.001353894
         104.     0.8085735    0.01517777     0.5954683     0.1165827     0.6978454   0.002822972      -59.1897     0.2188207       677.341     0.4033516       772.034     0.2914537   -0.01858958   0.001611394    0.08668261      3.193437      21.32739    0.02057395    0.02019169      25626.35      30494.11      10.07498      9.886153       10271       33055   -0.01904182   0.004813029  -1.303314E-4   0.004257195  -0.001905665   0.003987977    0.01342359   0.004164673          59           0          15           0   2.132991E-4       26.0885       42.8755      2873.544     0.7203538      23698.32      20.69784      20.82327      10.07012      10.15504   0.003225085      33.04211           78.   0.004353171   0.004883556    0.00140599   0.001519887
         112.     0.6379759    0.01178452     0.4834582    0.09204007     0.6932127   0.003270706     -58.96479     0.2471755       677.341     0.4898659       772.034     0.3572534   -0.01441624   0.001166227    0.08089678      3.253153      21.58468    0.02024287    0.01987267      26922.84      31233.02      10.02139      9.860158       12079       37991   -0.02128438   0.005327564  -0.001026648   0.004892378   0.003662275   0.004885311   0.002338368   0.004993833          61           0          15           0   7.035972E-4      27.59078      46.52625      3118.218     0.5666227      24851.15      20.95513       21.0839      10.01653      10.10347   0.003224209      38.85283           84.    0.00550905   0.006200061   0.001572068   0.001702689
         120.     0.5134873    0.01052367     0.4407996    0.08286349     0.6905538   0.003946385     -58.79536     0.2884002       677.341     0.6201785       772.034     0.4534173   -0.01171209   9.263838E-4    0.07909635      3.309751      21.82037    0.02248192     0.0220276      27973.68      31869.03      9.979819      9.838271       13911       43462   -0.02062391   0.006209327    -0.0105708   0.006044313   0.008267747   0.005802068  -0.003136928   0.005991571          62           1          15           0   2.457514E-4      28.29801      50.06509      3355.394     0.4549371      25781.84      21.19081      21.32226      9.974957      10.06355   0.003223481      44.74069           90.   0.006836989   0.007714227   0.001741126   0.001888757
         128.     0.4055388   0.007089645     0.3149028    0.05759655     0.6883442   0.003294042     -58.87911     0.2411564       677.341     0.5466098       772.034     0.4018756  -0.008811783   5.947413E-4    0.06749386      3.363586      22.07661    0.01914822    0.01881741      28879.98      32382.34      9.945201      9.820923       15902       48809   -0.01647931    0.00473123   -0.01883397   0.004740155   0.003070197   0.004508763  -0.001133599   0.004625977          66           0          15           0   6.193493E-4      29.89235      53.59309      3591.844      0.358095      26582.54      21.44706      21.58214      9.940339      10.03034   0.003222851      51.13955           96.   0.008649033    0.00979226   0.001926699   0.002092863
         136.     0.3065881   0.004548611     0.2109637     0.0377836     0.6776212   5.108166E-4     -59.04919    0.03611512       677.341    0.08613386       772.034    0.06341901         -0.04         INDEF         INDEF      3.414953       22.3803    0.01622922    0.01598958      29829.84      32803.78      9.910066      9.806883       18589       54643     -0.001951   0.001701864  -0.003113717   0.002584818   3.127315E-4   7.129851E-4  -4.830560E-4   7.945737E-4          69           0          30           0   3.212845E-4      31.17518      57.91397      3881.431     0.2696445      27419.67      21.75075      21.89016      9.905205      9.996676   0.003222183      59.77529          102.    0.01143037    0.01299382   0.002179278   0.002370521
         144.     0.2533569   0.003632945     0.1733377    0.03061174     0.6776212   0.003392061     -58.84157     0.2357889       677.341      0.601336       772.034     0.4434807    -0.0049356   2.891370E-4    0.05858193      3.464102      22.58736    0.01568227    0.01545709      30448.85      33150.49      9.887766      9.795468       20819       60968   0.003335456   0.004815822   -0.01906251   0.005052396  -0.002682728   0.004756866   0.002083905   0.004955107          71           0          15           0   1.501921E-4      32.06343      61.32068       4109.75     0.2223894      27963.02      21.95781      22.09935      9.882905      9.975371   0.003221723      66.94228          108.    0.01382532    0.01574793   0.002390287   0.002602486
         152.     0.1940473   0.003173293     0.1525883    0.02711263     0.6671177   0.004245102     -59.08181     0.2937471       677.341     0.7748633       772.034     0.5673321  -0.003343184   2.413819E-4    0.07220122      3.511243      22.87692    0.01790144    0.01761221      31089.86      33448.62      9.865146      9.785748       23723       67410   0.007760817   0.005538509   -0.02746675   0.005883155   -0.00206898   0.005460504   0.003755317   0.005547271          73           3          15           0   3.310221E-4      31.67373      65.77339      4408.174     0.1697181      28522.19      22.24737      22.39282      9.860286      9.953875   0.003221194      76.27543          114.    0.01804109    0.02062483   0.002666653   0.002906452
         160.     0.1636128   0.002822516     0.1442233    0.02476748      0.665742   0.004490946     -59.48861      0.301582       677.341     0.8537521       772.034     0.6174626  -0.002844294   2.089975E-4    0.07347958      3.556559      23.06215    0.01889281    0.01857143      31550.79      33722.81      9.849168      9.776883       26303       74312  -0.006006373   0.006115546    -0.0226862   0.006540146    0.00903296   0.005980865   0.009444586   0.006144924          77           1          15           0   8.919842E-5      33.90841      69.37806      4649.762     0.1429591      28924.11      22.43259      22.57911      9.844307      9.938683   0.003220815      84.56728          120.    0.02139062    0.02447859   0.002912835   0.003177115
