           0.      13.19273         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       352.531         INDEF       332.066         INDEF      -2.59825         INDEF         INDEF            0.      18.29586         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       17.6681         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
     29.33337      2.676486    0.02512454     0.2989191     0.1528266     0.5964889    0.01555394     -56.34932      1.179558       352.531      0.484736       332.066     0.3756585   -0.04400646    0.01241088      0.282024      2.327236      20.02778    0.01024006    0.01014445      3537.791      6589.613      12.22486      11.54954        1095        2709   8.411579E-4    0.01994766   -0.01945045    0.01954419   0.008096214    0.01968003  -3.328219E-4    0.01900705          37           0          15           0   0.004937237      3.825686      13.97497      312.2039      2.581348      3557.606      19.40003      19.43932       12.2218      12.21574   0.007449845       8.01391      22.00003   0.003115007   0.003226421   0.002486771   0.002473072
     32.00004      2.580543    0.02635509     0.3219797     0.1645875     0.6009955    0.01902918      -58.7462       1.48125       352.531     0.6659938       332.066     0.4938036   -0.03435496     0.0109703     0.3193223      2.378415      20.06742    0.01114565    0.01103232      4036.887      7319.137      12.08158      11.43554        1285        3209   -0.02679239    0.02640013   -0.02288267    0.02414037    0.01509536    0.02463349   -0.01674676    0.02374675          39           0         100           2   0.005558466      3.827042      15.16005      338.6787      2.480005      4037.778      19.43966      19.48281      12.07852      12.07828   0.007435611      9.394415      24.00003   0.003213732   0.003340584   0.002550038    0.00254948
     34.66671      2.539059    0.02605308     0.3253921     0.1647741     0.6178116    0.02344664     -61.53543      1.819305       352.531      0.943397       332.066     0.6535581   -0.02241822    0.01149066     0.5125591      2.426488      20.08501    0.01119861    0.01108357       4451.54       8053.74      11.97542       11.3317        1447        3769   -0.05914954    0.04300099   -0.05167707    0.03848615   -0.02972439    0.03273875   -0.02799349    0.03119747          40           0         100           2    0.03355314      3.899743      16.07358      359.0871      2.435057       4436.11      19.45726      19.50267      11.97236      11.97613   0.007426055      10.57147      26.00003    0.00325757   0.003393219   0.002599109   0.002608077
     37.33337      2.476506    0.02966516     0.3851402     0.1899497     0.6178116    0.03442765     -61.53543      2.676713       352.531      1.485727       332.066      1.034745   -0.01783156    0.01319704     0.7400946      2.471863      20.11209    0.01308389    0.01292869      5019.148      8795.762      11.84512      11.23601        1671        4373   -0.08779553    0.07920345   -0.06424774     0.0633269   -0.07151153    0.06782565   -0.02262953    0.04436355          41           0         100           2     0.0842218      4.111123      17.31001      386.7094      2.369195      4979.398      19.48434      19.53244      11.84206      11.85069   0.007414713        12.199      28.00003    0.00332567   0.003472927   0.002656837   0.002677903
     40.00004      2.609823    0.02780557     0.3556219     0.1758579     0.7061141    0.02488498     -61.53543      1.843565       352.531      1.493325       332.066     0.9540468    -0.0137897    0.01075558     0.7799724      2.514868      20.05516    0.01163058    0.01150558      4526.723      9538.452      11.95723        11.148        1481        5025   -0.06573462    0.06825831     0.0554848    0.05890073     0.0135811      0.045004   -0.02452619    0.04475436          40           0         100           2    0.09430698      4.089343      16.26339      363.3277      2.505121      4507.767      19.42741      19.47187      11.95417      11.95873   0.007424203      10.81851      30.00003   0.003170413   0.003299527   0.002615093   0.002626005
     42.66671      2.622612    0.02981445     0.3725758     0.1885631     0.7225947    0.01793446     -61.53543      1.312195       352.531      1.212922       332.066     0.7632752    -0.0226267    0.01108388     0.4898584      2.555773      20.04986    0.01241334    0.01227354       4788.03      10233.72       11.8963      11.07161        1583        5721   -0.08021036    0.05087765    0.05154402    0.03830061   -0.02213886    0.03312075   0.004192794    0.02926483          40           0         100           2    0.06812003      3.904053      16.85419      376.5261      2.515976      4757.657      19.42211      19.46717      11.89324      11.90015   0.007418703      11.55961      32.00003   0.003147602   0.003277794   0.002640265   0.002656999
     45.33338      2.559803    0.03154326     0.3900942     0.2044237     0.7225947    0.01509996     -61.53543      1.138053       352.531      1.084123       332.066     0.6886094   -0.02796105    0.01070323     0.3827906      2.594804      20.07618    0.01346142    0.01329798      5339.056      10914.63      11.77803      11.00167        1795        6469   -0.07773116    0.04125393   0.003235282    0.02489598   -0.03893142     0.0309162  -0.002166953    0.02475621          42           0          16           0    0.01539304      3.641468      17.90757       400.059      2.449539      5286.308      19.44843      19.49623      11.77497      11.78575   0.007409787      13.09995      34.00003   0.003216212   0.003357703    0.00268071   0.002707291
     48.00005      2.516169     0.0352727     0.4531884     0.2285932     0.7283545    0.01262491     -62.87857     0.9458914       352.531     0.9887937       332.066     0.6013098   -0.03457607    0.01006895     0.2912114      2.632149      20.09484    0.01532852    0.01511398      5789.942       11539.2      11.69001      10.94125        1969        7213   -0.07755632     0.0324523  -0.008845103    0.02055784   -0.04508084    0.02510846  -0.006491016    0.01982322          42           0          15           0   0.001673357      3.930346      18.76308      419.1712      2.403749      5717.608      19.46709      19.51672      11.68695       11.7006   0.007403276      14.36418      36.00003   0.003264592   0.003414011   0.002708861   0.002742938
     50.66671      2.393224    0.03208222     0.4388787     0.2128094     0.7199838    0.01223767     -62.79766     0.9419758       352.531     0.9796948       332.066     0.6081233   -0.03551999   0.009048633     0.2547476      2.667969      20.14923    0.01465315    0.01445823      6510.287      12183.62      11.56269      10.88225        2261        8069   -0.05246576    0.02580164   -0.05003083    0.02293349   -0.01656626    0.02145666   -0.01536268    0.01963163          44           0          15           0   9.694601E-4      4.253119      20.10831      449.2241      2.279407      6404.822      19.52148      19.57439      11.55963      11.57737   0.007394149      16.48577      38.00003   0.003420359   0.003587869   0.002762678   0.002807949
     53.33338      2.192278    0.03018273     0.4208647     0.2069224     0.6941723    0.01224313     -62.20847     0.9718505       352.531     0.9376089       332.066     0.6154258   -0.03577321   0.008636945     0.2414361      2.702401      20.24445    0.01505264    0.01484564      7597.633      12778.93        11.395      10.83046        2733        8945    0.03377361    0.02158562   -0.06362807    0.02319015   -0.02020196     0.0195455    0.01281352    0.01781321          47           0          18           0    0.01327556      4.136852       22.1207      494.1811      2.079433      7438.267       19.6167      19.67408      11.39194      11.41495   0.007382551      19.91517      40.00003   0.003716137   0.003914554    0.00285701   0.002917984
