           0.      13.19273         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       352.531         INDEF       332.066         INDEF     -1.191882         INDEF         INDEF            0.      18.29586         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       17.6681         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
          88.     0.9071426    0.02559293     0.9178964     0.1880689     0.7026359   0.005482896     -59.49945     0.4321748       352.531     0.6842961       332.066       0.48465   -0.02711035   0.003084446     0.1137738      3.062814       21.2025    0.03107281     0.0302065      14287.36      18096.39      10.70931      10.45271        7223       23921   0.002927086    0.01032609    -0.0119951   0.009487447   0.002915454    0.00874872    0.03265102   0.009347464          54           0          15           0   6.198350E-5      23.82064      35.99053      2412.108     0.8414636      13718.58      20.57475      20.65635      10.70625      10.75036   0.007289752      52.53799           66.    0.00873736   0.009418353   0.003996687   0.004162217
          96.     0.6847118    0.01567352     0.5871907     0.1172899     0.7016048   0.003340137     -59.37593     0.2605428       352.531     0.4496682       332.066     0.3207721   -0.01887017   0.001726636    0.09150082      3.130169      21.50792    0.02514247    0.02457269      15402.88      18861.15      10.62769      10.40777        8631       28433  -0.004811818   0.006099143  -0.009326966   0.005716271   0.001894061   0.005024622     0.0218721   0.005402823          56           0          15           0   4.981990E-4      25.06323      39.33041      2635.949      0.631574      14750.73      20.88017      20.96788      10.62463       10.6716   0.007287709      62.76803           72.    0.01156729    0.01253954   0.004427964   0.004623574
         104.     0.5200595   0.009003388     0.3526703    0.06915633     0.6985465   0.002838938     -59.27236     0.2204044       352.531     0.4070051       332.066      0.293426   -0.01225842   9.695290E-4    0.07909084      3.193437      21.80656    0.01896115    0.01863568      16363.87      19457.97      10.56198      10.37395       10241       33031   -0.01491126   0.004974603  -0.002447635   0.004545291   0.001049181   0.004362612    0.01260189   0.004481981          59           0          15           0   4.793777E-4      26.00602      42.82573      2870.208     0.4773279      15635.11      21.17881       21.2719      10.55892      10.60838   0.007285911      74.46573           78.    0.01522123    0.01658292   0.004943717   0.005174008
         112.     0.4061837   0.007402101     0.3042684    0.05781225     0.6921958   0.003558509     -58.90677     0.2683569       352.531     0.5306422       332.066     0.3877315  -0.009192768   7.558640E-4    0.08222377      3.253153      22.07489    0.01996886    0.01960736      17220.47      19904.66      10.50658      10.34931       12115       37996   -0.02032891   0.005848534  -0.004399722   0.005466575   0.006099507   0.005405867   0.003469452   0.005528713          61           0          15           0   3.494161E-5      27.69963      46.60329      3123.383     0.3716208      16419.67      21.44713      21.54369      10.50352      10.55522   0.007284271      88.08156           84.     0.0194804    0.02129129   0.005555956     0.0058268
         120.      0.327134   0.006798236     0.2848193    0.05352937     0.6905404   0.004202324     -58.76146     0.3070922       352.531     0.6601893       332.066     0.4830375  -0.007820607   6.018648E-4    0.07695883      3.309751      22.30988    0.02280013    0.02233218      17873.43      20294.88      10.46617      10.32823       13907       43458   -0.01857469   0.006642344   -0.01350574   0.006564338   0.009271347   0.006259533  -0.004784795   0.006468154          62           1          15           0   1.389919E-4      28.31096      50.06618      3355.468     0.2985648      17015.23      21.68213      21.78134      10.46311      10.51654   0.007282984      101.1016           90.    0.02418039    0.02649331   0.006143665   0.006453423
         128.     0.2567111   0.004358871     0.1942769    0.03541163     0.6876966   0.003329179     -58.91553     0.2432598       352.531     0.5511314       332.066     0.4049797   -0.00564737   3.894206E-4    0.06895609      3.363586      22.57308     0.0185933    0.01828104      18456.11      20601.17      10.43134      10.31196       15929       48809   -0.01104993   0.004839538   -0.02055917   0.004962648     0.0036324   0.004652933  -0.004474764   0.004790035          66           0          15           0   3.214466E-6      30.09889      53.64875      3595.573     0.2334878      17545.37      21.94533      22.04828      10.42828      10.48323   0.007281828      115.7927           96.    0.03080582      0.033869   0.006813742    0.00716733
         136.     0.1947429    0.00277768     0.1287557    0.02307314      0.677966   3.397364E-4     -59.14293    0.02404586       352.531    0.05740452       332.066    0.04218046         -0.04         INDEF         INDEF      3.414953      22.87304    0.01559749    0.01537703      19045.67      20874.82       10.3972      10.29764       18569       54649  -8.816226E-4   8.572003E-4  -0.001726611   0.001467341   8.719077E-6   4.723433E-4  -8.120069E-4   8.140783E-4          69           0          30           0   6.139061E-4      31.14008        57.883      3879.356     0.1764428      18080.56      22.24529      22.35243      10.39414       10.4506   0.007280645      134.9741          102.    0.04059857     0.0448085    0.00769608   0.008106794
         144.     0.1579992     0.0024913     0.1183948    0.02099206     0.6759217   0.004088899     -58.96393      0.282656       352.531     0.7207683       332.066     0.5301097  -0.003011994   2.165601E-4    0.07189924      3.464102      23.10006    0.01725605    0.01698607      19452.05      21066.62      10.37428      10.28771       20905       60981    0.01051547   0.006000713     -0.015454   0.006227978  -0.009558317   0.005819438    0.00301831   0.006053926          71           1          15           0   4.112651E-5      31.80934      61.48211      4120.567     0.1428338      18447.72       22.4723      22.58186      10.37122      10.42878   0.007279769      151.9466          108.    0.05003176    0.05534308   0.008482489   0.008944215
         152.     0.1252658   0.002513138     0.1201407    0.02132468     0.6696122   0.005448837     -59.23022     0.3756004       352.531       1.00181       332.066     0.7293757  -0.002314268   1.904967E-4    0.08231401      3.511243      23.35211    0.02200389    0.02156704      19825.59       21261.2      10.35363      10.27772       23557       67395    0.01853455   0.007735571   -0.02232343   0.007870482   -0.01054109   0.007454134   0.005470735   0.007568876          72           3          15           0   1.158736E-4      31.74061      65.52649      4391.629     0.1129529      18783.62      22.72436       22.8367      10.35057      10.40919   0.007278898      171.2151          114.     0.0630959    0.06997318   0.009377762   0.009897897
         160.     0.1081534    0.00211259     0.1045301    0.01829557     0.6714078   0.005008905     -59.68323     0.3386563       352.531     0.9718741       332.066      0.697621  -0.002048126   1.599204E-4    0.07808133      3.556559      23.51159     0.0214174    0.02100395      20100.33      21414.49      10.33869      10.26992       25894       74340   0.005883505   0.007267746   -0.01924512    0.00756531  -0.004043627   0.007243492   0.005246036   0.007352081          75           2          15           0   2.296534E-4      32.64304      68.78756      4610.187    0.09749814      19030.87      22.88384      22.99645      10.33563      10.39499   0.007278271       188.195          120.    0.07307144    0.08105645    0.01016667    0.01073793
