           0.      22.17524         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       677.341         INDEF       772.034         INDEF     -4.481735         INDEF         INDEF            0.      17.73202         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      17.10247         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
     29.33337      4.264822    0.03131723     0.3627699     0.1904953     0.6054858    0.01062147     -55.92825     0.8009393       677.341     0.3370369       772.034     0.2623583   -0.07020583    0.01615461     0.2301035      2.327236      19.52194   0.008002673   0.007943064       5536.56      10429.19      11.73859      11.05107        1065        2709    0.01314392    0.01370182   -0.02356139    0.01363367   0.001347519    0.01300481   -0.01047679    0.01280033          37           0          15           0   0.005151103      3.626553       13.8183      308.7037      3.981828      5361.532      18.89239      18.96693      11.73373      11.76861   0.003316605      3.454861      22.00003   0.001017869   0.001078889   7.323904E-4   7.545754E-4
     32.00004      4.147648    0.03210643     0.3949224     0.1979173     0.6206301    0.01248632     -57.96264     0.9396608       677.341     0.4550421       772.034     0.3365098   -0.05820431    0.01435916     0.2467027      2.378415      19.55219   0.008436588    0.00837283       6156.49      11577.79      11.62336      10.93763        1213        3209   -0.02111207    0.01785365  -0.007259367    0.01602707   2.347068E-4    0.01634264   -0.02070932    0.01663044          38           0          15           0   0.003006012      3.981585      14.78234      330.2407      3.862813      5938.649      18.92263      18.99988       11.6185      11.65761   0.003310004      3.930536      24.00003   0.001030725   0.001095544   7.416608E-4   7.671464E-4
     34.66671      4.064636    0.03554592     0.4197141     0.2219842     0.6357404     0.0110563     -58.45755      0.834091       677.341     0.4550467       772.034     0.3308568   -0.05495029    0.01473101     0.2680789      2.426488      19.57414   0.009536867   0.009453454       6803.86      12725.81       11.5148      10.83498        1371        3769   -0.01867746    0.01676344  -0.006829098    0.01488542   -0.01020801    0.01509664   -0.02642898    0.01596156          39           0          15           0   9.605486E-5      3.574892      15.69204      350.5633      3.777466      6541.289      18.94458      19.02414      11.50994      11.55267   0.003304508      4.438346      26.00003   0.001039082   0.001107046   7.513767E-4   7.798568E-4
     37.33337      4.033768     0.0337522     0.4167968     0.2134676     0.6624284    0.01210047      -59.0975     0.9153126       677.341     0.5805342       772.034      0.409725   -0.03800322     0.0138107     0.3634087      2.471863      19.58242   0.009122255   0.009047649      7222.396      13865.72      11.44999      10.74184        1475        4373   -0.03500652    0.02259988   -0.01588862    0.01779254   -0.01749845    0.01884839   -0.01694983    0.01781146          40           0          31           0    0.01085778      3.812279      16.26827      363.4367       3.74486      6930.115      18.95286      19.03355      11.44513      11.48998   0.003301341      4.772599      28.00003   0.001038727   0.001108084   7.576444E-4   7.879494E-4
     40.00004      4.122475    0.03662296     0.4383637     0.2316239     0.7056758    0.01588678      -61.0759      1.177107       677.341      0.948447       772.034     0.6138378    -0.0270612    0.01350236     0.4989564      2.514868       19.5588   0.009688585    0.00960272      7231.754      15011.44      11.44858      10.65564        1481        5025    -0.0396497    0.03524884    0.02426312    0.02856812   -0.02031914    0.02889388   -0.04595016    0.03395039          40           0         100           2     0.1112387      3.581809      16.27551      363.5984       3.82987      6938.928      18.92924      19.00918      11.44372       11.4886   0.003301303      4.791883      30.00003   0.001018001   0.001085225   7.594745E-4   7.898799E-4
     42.66671      4.043022    0.03761404     0.4763263     0.2408474     0.7056758    0.01413649      -61.0759      1.056914       677.341     0.8981783       772.034     0.5838935   -0.03740499    0.01422783     0.3803725      2.555773      19.57993    0.01014861    0.01005405      8054.759      16103.25      11.33156      10.57941        1683        5721   -0.06359734     0.0346439   -0.01264536    0.02249302    -0.0483417    0.02932021   0.004012553    0.02127264          41           0          15           0   0.008809255      3.911337      17.36055      387.8382      3.748445      7702.453      18.95037      19.03251       11.3267      11.37526   0.003295908      5.441103      32.00003   0.001029235   0.001099554   7.688093E-4   8.023941E-4
     45.33338      4.007289     0.0411745     0.5326916     0.2668413     0.7172395    0.01133194     -61.25741     0.8532239       677.341     0.7959242       772.034     0.5118486    -0.0494491    0.01311862     0.2652954      2.594804      19.58957    0.01121273    0.01109967      8611.418      17168.82      11.25901      10.50984        1821        6469   -0.05225205    0.02525345   -0.01035811    0.01870153   -0.04268439    0.02234202   -0.01006231    0.01793403          42           0          15           0   0.002212767      3.985159       18.0796      403.9021      3.711319      8217.808      18.96001      19.04332      11.25415      11.30494   0.003292685      5.884627      34.00003   0.001029702   0.001101551   7.747103E-4   8.102813E-4
     48.00005      3.964398    0.04485996      0.553831     0.2907258     0.7284858   0.009660008     -62.16531     0.7237188       677.341     0.7527697       772.034     0.4670455   -0.05436559    0.01389779     0.2556358      2.632149      19.60125    0.01235607    0.01221674      9190.679      18143.06      11.18832      10.44992        1965        7213    -0.0603361    0.02356475  -0.002374438    0.01560338   -0.03405539    0.01849995  -0.009088919     0.0152263          42           0          15           0   0.001154718      3.629004      18.75855      419.0699      3.667378      8754.598      18.97169      19.05625      11.18346      11.23624   0.003289866      6.347435      36.00003   0.001034164   0.001107803   7.802956E-4   8.176775E-4
     50.66671      3.747452    0.04368157     0.5914656     0.2897508     0.7178594    0.01002891     -62.68014     0.7708284       677.341     0.7957045       772.034     0.4964875   -0.05857812    0.01132551     0.1933403      2.667969      19.66235    0.01272931    0.01258328      10390.76      19142.09      11.05507      10.39172        2273        8069   -0.03692817    0.01941386   -0.04267057    0.01770547   -0.01108708    0.01717623    -0.0200379    0.01613688          44           0          15           0   1.459150E-5      4.166869      20.18444      450.9249      3.456446      9863.219       19.0328      19.12056      11.05021      11.10679   0.003284557      7.337325      38.00003   0.001076075   0.001156778   7.930977E-4   8.341291E-4
     53.33338      3.396418    0.03701456     0.5320421      0.253759     0.6906707   0.008893361     -62.21888     0.7059863       677.341     0.6733039       772.034     0.4434499   -0.06303208   0.009898772     0.1570434      2.702401      19.76914    0.01189726    0.01176859      12145.65      20063.55      10.88564      10.34067        2761        8945    0.02392017    0.01397793   -0.05380939    0.01447433   -0.01384892    0.01259954    0.01986175    0.01197665          47           0          15           0   0.003144515      4.395912      22.24697      497.0021      3.120037      11478.77      19.13959      19.23174      10.88078      10.94209    0.00327807      8.905718      40.00003   0.001162672   0.001255983   8.179552E-4   8.642247E-4
