R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vstars_kms,Vgeom_kms,Vcompact_kms,Vmodel_kms,residual_kms,variant
18.97,114.0,2.0,27.2,16.446211840072227,109.81246418251689,0.0,114.32014334195479,-0.32014334195478966,geom_only__none
19.71,115.0,2.0,26.9,16.117589092030457,109.48104980355477,0.0,113.88365529885304,1.1163447011469572,geom_only__none
20.45,114.0,2.0,26.69,15.810070557165677,109.13231956104744,0.0,113.45561953379452,0.5443804662054816,geom_only__none
21.29,116.0,2.0,26.49,15.481447809123905,108.725957719739,0.0,112.97224972682938,3.027750273170625,geom_only__none
22.03,115.0,3.0,26.18,15.207093037822972,108.35658085154148,0.0,112.5068739788714,2.493126021128603,geom_only__none
22.76,118.0,4.0,25.87,14.95685736729575,107.978093569964,0.0,112.03674920895166,5.963250791048338,geom_only__none
23.5,115.0,10.0,25.46,14.709636584365244,107.57850591243148,0.0,111.52452619399533,3.475473806004672,geom_only__none
0.76,77.0,10.0,4.04,18.559804446818266,0.0,78.69499726455741,80.95486727537039,-3.9548672753703897,baseline_gauss_Rd3__cumulative
1.52,100.0,5.0,7.62,32.32481778442599,65.60384826312315,65.05704667704099,98.17964388846559,1.8203561115344087,baseline_gauss_Rd3__cumulative
2.28,110.0,2.0,9.72,37.43453770212326,89.23781985294808,53.311589515085245,110.91139293013973,-0.9113929301397263,baseline_gauss_Rd3__cumulative
3.04,118.0,2.0,12.42,35.277275363989126,101.13356912286164,46.16964939261799,117.29611198020426,0.7038880197957411,baseline_gauss_Rd3__cumulative
3.79,121.0,2.0,13.35,32.00988897593925,105.97874838326935,41.349833506411514,118.92921984165298,2.07078015834702,baseline_gauss_Rd3__cumulative
4.55,121.0,2.0,14.78,29.270008342104653,107.67117894288184,37.738763965040185,118.71174697099681,2.2882530290031866,baseline_gauss_Rd3__cumulative
5.31,117.0,2.0,17.55,27.0917507500714,108.23931255749528,34.93382253323589,118.22895668323717,-1.2289566832371719,baseline_gauss_Rd3__cumulative
6.07,116.0,2.0,19.2,25.36489111686914,108.44902399333893,32.6737532279881,117.6468557016374,-1.6468557016374064,baseline_gauss_Rd3__cumulative
6.83,116.0,2.0,20.33,24.134044357033478,108.47251049671884,30.802290921153325,117.09324342795959,-1.0932434279595924,baseline_gauss_Rd3__cumulative
7.59,116.0,2.0,21.66,22.995051833006453,108.45304721155995,29.21947996271164,116.67805906667634,-0.6780590666763402,baseline_gauss_Rd3__cumulative
8.35,115.0,1.0,22.79,21.848186088767257,108.43950922551143,27.85801272733376,116.32679557847139,-1.3267955784713905,baseline_gauss_Rd3__cumulative
9.11,115.0,1.0,23.92,20.885028816145326,108.4518054947788,26.670685714033546,116.10973439029695,-1.1097343902969499,baseline_gauss_Rd3__cumulative
9.86,116.0,1.0,24.84,20.158068149888447,108.51701201437129,25.63627447618626,116.00230074046422,-0.0023007404642214624,baseline_gauss_Rd3__cumulative
10.64,117.0,1.0,25.46,19.46784917795502,108.61247356505916,24.678715774266156,115.9004623709642,1.0995376290357939,baseline_gauss_Rd3__cumulative
11.38,117.0,1.0,26.38,18.764508172334644,108.73421184843558,23.86284603645734,115.93349565250652,1.0665043474934777,baseline_gauss_Rd3__cumulative
12.12,118.0,1.0,27.2,18.15564580926029,108.91065196628104,23.122887184760472,116.0416541515626,1.9583458484374034,baseline_gauss_Rd3__cumulative
12.86,117.0,1.0,28.13,17.594022767458945,109.14848035671852,22.447753562648774,116.26753175900934,0.7324682409906558,baseline_gauss_Rd3__cumulative
13.7,116.0,1.0,28.74,17.016653285233264,109.4627219762146,21.74868918026851,116.49312027983379,-0.49312027983378925,baseline_gauss_Rd3__cumulative
14.44,115.0,1.0,28.64,16.54688447924055,109.6992967290316,21.18408808483906,116.51931289189649,-1.5193128918964902,baseline_gauss_Rd3__cumulative
15.18,117.0,1.0,28.33,16.1112329608339,109.84271746497554,20.66129242437785,116.42367590938863,0.5763240906113651,baseline_gauss_Rd3__cumulative
15.91,116.0,1.0,28.13,15.71494754348809,109.90250255724669,20.18172482725911,116.29324383489956,-0.2932438348995561,baseline_gauss_Rd3__cumulative
16.65,115.0,2.0,28.33,15.339657380041396,109.92888325826837,19.728144999882723,116.23877609508564,-1.2387760950856403,baseline_gauss_Rd3__cumulative
17.49,115.0,2.0,28.23,14.940747555958199,109.93287200096019,19.248569764903074,116.08575546510738,-1.0857554651073826,baseline_gauss_Rd3__cumulative
18.23,115.0,2.0,27.82,14.620569933996684,109.8815882668598,18.853849493690134,115.8323985160167,-0.8323985160166956,baseline_gauss_Rd3__cumulative
18.97,114.0,2.0,27.2,14.316138752459507,109.75555146075709,18.48245701232643,115.46719933577269,-1.4671993357726905,baseline_gauss_Rd3__cumulative
19.71,115.0,2.0,26.9,14.030078418084058,109.57110624471856,18.132181518561715,115.13060596874777,-0.13060596874777275,baseline_gauss_Rd3__cumulative
