Galaxy,T,D,e_D,f_D,Inc,e_Inc,L[3.6],e_L[3.6],Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,eVflat,Q,Ref.
NGC2403,Scd,3.16,0.16,2,63,3,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,Da06-Fr02
NGC6503,Scd,6.26,0.31,2,74,2,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,Be91-Be87
