Galaxy,D_Mpc,R_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_ML1_kms,Vbul_ML1_kms,SBdisk_Lsolpc2,SBbul_Lsolpc2
NGC2403,3.16,0.16,24.5,2.83,0.0,23.21,0.0,1105.79,0.0
NGC2403,3.16,0.26,35.3,2.46,0.0,35.33,0.0,1006.36,0.0
NGC2403,3.16,0.36,43.2,1.12,1.92,46.97,0.0,938.26,0.0
NGC2403,3.16,0.46,52.0,1.25,2.29,56.68,0.0,789.78,0.0
NGC2403,3.16,0.56,60.9,2.93,2.64,63.77,0.0,624.65,0.0
NGC2403,3.16,0.66,65.8,1.25,3.0,67.56,0.0,511.64,0.0
NGC2403,3.16,0.76,71.7,1.25,3.34,70.83,0.0,469.31,0.0
NGC2403,3.16,0.86,74.6,1.6,3.68,72.8,0.0,402.53,0.0
NGC2403,3.16,0.96,74.6,1.03,4.02,74.87,0.0,381.19,0.0
NGC2403,3.16,1.06,76.6,1.12,4.37,77.12,0.0,359.63,0.0
NGC2403,3.16,1.16,78.5,1.6,4.75,79.47,0.0,345.41,0.0
NGC2403,3.16,1.27,83.4,1.8,5.15,82.18,0.0,332.26,0.0
NGC2403,3.16,1.36,86.4,1.6,5.51,85.19,0.0,317.57,0.0
NGC2403,3.16,1.47,87.4,1.41,5.76,87.94,0.0,297.25,0.0
NGC2403,3.16,1.57,90.3,1.41,5.98,90.77,0.0,286.72,0.0
NGC2403,3.16,1.67,93.3,1.6,6.21,93.98,0.0,271.01,0.0
NGC2403,3.16,1.77,93.3,1.41,6.42,96.86,0.0,252.38,0.0
NGC2403,3.16,1.87,95.2,1.25,6.61,99.21,0.0,231.06,0.0
NGC2403,3.16,1.97,97.2,1.6,6.81,101.42,0.0,214.5,0.0
NGC2403,3.16,2.08,99.1,2.02,7.01,103.79,0.0,203.15,0.0
NGC2403,3.16,2.18,98.2,2.02,7.27,106.07,0.0,177.77,0.0
NGC2403,3.16,2.28,98.2,1.6,7.54,106.73,0.0,143.26,0.0
NGC2403,3.16,2.37,98.2,1.0,7.81,106.19,0.0,125.45,0.0
NGC2403,3.16,2.47,97.2,1.12,8.25,105.57,0.0,115.5,0.0
NGC2403,3.16,2.57,98.2,1.41,8.77,105.08,0.0,108.64,0.0
NGC2403,3.16,2.68,98.2,1.12,9.31,104.39,0.0,99.02,0.0
NGC2403,3.16,2.78,98.2,1.6,9.95,103.8,0.0,91.66,0.0
NGC2403,3.16,2.88,99.1,2.69,10.97,103.16,0.0,86.76,0.0
NGC2403,3.16,2.98,100.0,2.69,11.96,102.68,0.0,83.79,0.0
NGC2403,3.16,3.08,102.0,3.16,13.06,102.46,0.0,81.8,0.0
NGC2403,3.16,3.19,101.0,3.4,14.06,102.29,0.0,78.36,0.0
NGC2403,3.16,3.29,101.0,3.4,15.05,102.51,0.0,75.36,0.0
